종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
376190,LB루셈,KOSDAQ,반도체,"7,490",270,3.74,"184,254,000,000"
061970,LB세미콘,KOSDAQ,반도체,"8,210",580,7.60,"359,471,500,320"
309960,LB인베스트먼트,KOSDAQ,금융,"4,305",-115,-2.60,"99,950,213,895"
060370,LS마린솔루션,KOSDAQ,건설,"9,430",50,0.53,"244,597,527,760"
417200,LS머트리얼즈,KOSDAQ,일반전기전자,"24,250",-350,-1.42,"1,640,576,980,750"
086960,MDS테크,KOSDAQ,소프트웨어,"1,856",-16,-0.85,"162,545,762,816"
038340,MIT,KOSDAQ,일반전기전자,"1,283",0,0.00,"33,979,354,334"
160550,NEW,KOSDAQ,오락·문화,"3,660",0,0.00,"102,136,347,960"
053290,NE능률,KOSDAQ,출판·매체복제,"4,725",-505,-9.66,"78,086,800,575"
060250,NHN KCP,KOSDAQ,소프트웨어,"13,350",40,0.30,"536,144,156,850"
104200,NHN벅스,KOSDAQ,디지털컨텐츠,"5,050",75,1.51,"74,879,127,500"
222160,NPX,KOSDAQ,기계·장비,"8,040",0,0.00,"79,551,289,560"
024940,PN풍년,KOSDAQ,유통,"4,800",70,1.48,"48,000,000,000"
218410,RFHIC,KOSDAQ,일반전기전자,"16,110",190,1.19,"426,664,360,620"
327260,RF머트리얼즈,KOSDAQ,기타제조,"9,190",40,0.44,"77,501,392,890"
091340,S&K폴리텍,KOSDAQ,IT부품,"2,550",20,0.79,"29,844,488,550"
419530,SAMG엔터,KOSDAQ,오락·문화,"14,200",-420,-2.87,"121,991,206,000"
019550,SBI인베스트먼트,KOSDAQ,금융,912,-5,-0.55,"147,804,716,400"
950110,SBI핀테크솔루션즈,KOSDAQ,출판·매체복제,"4,010",-20,-0.50,"96,450,685,400"
151910,SBW생명과학,KOSDAQ,IT부품,640,0,0.00,"120,557,466,880"
036120,SCI평가정보,KOSDAQ,기타서비스,"2,800",-40,-1.41,"99,400,000,000"
099220,SDN,KOSDAQ,유통,"1,085",15,1.40,"60,946,414,935"
036540,SFA반도체,KOSDAQ,반도체,"5,820",-100,-1.69,"957,158,963,460"
255220,SG,KOSDAQ,비금속,"2,430",200,8.97,"132,685,941,240"
040610,SG&G,KOSDAQ,운송,"1,701",3,0.18,"57,982,320,396"
049470,SGA,KOSDAQ,소프트웨어,417,-33,-7.33,"24,545,557,833"
184230,SGA솔루션즈,KOSDAQ,소프트웨어,718,-3,-0.42,"43,009,283,462"
016250,SGC이테크건설,KOSDAQ,건설,"16,700",90,0.54,"54,167,869,500"
048550,SM C&C,KOSDAQ,방송서비스,"1,669",-8,-0.48,"161,403,348,780"
063440,SM Life Design,KOSDAQ,출판·매체복제,"1,753",-11,-0.62,"80,689,106,962"
289080,SV인베스트먼트,KOSDAQ,금융,"2,180",10,0.46,"116,050,120,000"
089230,THE E&M,KOSDAQ,인터넷,"2,025",81,4.17,"37,596,174,300"
161570,THE MIDONG,KOSDAQ,정보기기,366,0,0.00,"7,721,265,564"
032540,TJ미디어,KOSDAQ,일반전기전자,"5,990",-20,-0.33,"83,450,337,910"
022220,TKG애강,KOSDAQ,화학,"1,120",4,0.36,"58,009,928,480"
048770,TPC,KOSDAQ,기계·장비,"4,025",-20,-0.49,"63,184,413,775"
246690,TS인베스트먼트,KOSDAQ,금융,"1,351",4,0.30,"56,036,591,562"
317240,TS트릴리온,KOSDAQ,화학,345,-3,-0.86,"33,327,905,625"
057030,YBM넷,KOSDAQ,기타서비스,"4,220",-115,-2.65,"68,839,581,340"
040300,YTN,KOSDAQ,방송서비스,"4,535",-65,-1.41,"190,470,000,000"
051390,YW,KOSDAQ,유통,"3,815",25,0.66,"43,320,728,920"
052220,iMBC,KOSDAQ,디지털컨텐츠,"3,245",5,0.15,"74,635,000,000"
079940,가비아,KOSDAQ,인터넷,"20,700",-500,-2.36,"280,188,658,800"
078890,가온그룹,KOSDAQ,통신장비,"7,060",70,1.00,"120,677,674,300"
399720,가온칩스,KOSDAQ,반도체,"102,000","-3,000",-2.86,"1,171,808,640,000"
036620,감성코퍼레이션,KOSDAQ,유통,"3,315",-85,-2.50,"300,632,629,440"
217730,강스템바이오텍,KOSDAQ,제약,"1,850",-2,-0.11,"103,485,161,250"
114190,강원에너지,KOSDAQ,금속,"20,100",-200,-0.99,"525,073,063,800"
094480,갤럭시아머니트리,KOSDAQ,소프트웨어,"8,270",-240,-2.82,"324,430,760,260"
039240,경남스틸,KOSDAQ,금속,"3,305",105,3.28,"89,167,591,220"
053950,경남제약,KOSDAQ,제약,"1,569",29,1.88,"55,846,047,738"
011040,경동제약,KOSDAQ,제약,"6,600",70,1.07,"203,073,855,600"
024910,경창산업,KOSDAQ,운송장비·부품,"2,225",-15,-0.67,"79,697,286,125"
198440,고려시멘트,KOSDAQ,비금속,"1,802",-11,-0.61,"57,627,887,920"
049720,고려신용정보,KOSDAQ,기타서비스,"10,500",-30,-0.28,"150,150,000,000"
014570,고려제약,KOSDAQ,제약,"6,730",50,0.75,"74,030,000,000"
348150,고바이오랩,KOSDAQ,기타서비스,"8,950",90,1.02,"168,906,261,600"
950190,고스트스튜디오,KOSDAQ,출판·매체복제,"11,360",80,0.71,"154,267,573,120"
098460,고영,KOSDAQ,기계·장비,"19,370",-630,-3.15,"1,329,842,604,350"
035290,골드앤에스,KOSDAQ,출판·매체복제,765,-48,-5.90,"35,534,681,460"
900280,골든센츄리,KOSDAQ,금융,117,-3,-2.50,"24,032,301,696"
215000,골프존,KOSDAQ,소프트웨어,"84,200","2,400",2.93,"528,389,943,000"
121440,골프존뉴딘홀딩스,KOSDAQ,유통,"4,045",165,4.25,"173,274,928,810"
366030,공구우먼,KOSDAQ,섬유·의류,"5,890",130,2.26,"133,222,081,500"
014200,광림,KOSDAQ,운송장비·부품,"1,006",0,0.00,"91,250,936,176"
029480,광무,KOSDAQ,통신장비,"3,635",280,8.35,"174,142,682,905"
026910,광진실업,KOSDAQ,금속,"3,300",45,1.38,"21,137,836,500"
397880,교보11호스팩,KOSDAQ,금융,"3,425",0,0.00,"15,207,000,000"
421800,교보12호스팩,KOSDAQ,금융,"2,355",5,0.21,"14,082,900,000"
440790,교보13호스팩,KOSDAQ,금융,"2,230",5,0.22,"9,031,500,000"
456490,교보14호스팩,KOSDAQ,금융,"2,230",5,0.22,"9,366,000,000"
465320,교보15호스팩,KOSDAQ,금융,"2,150",-5,-0.23,"8,191,500,000"
053270,구영테크,KOSDAQ,운송장비·부품,"2,795",-5,-0.18,"76,612,081,975"
066620,국보디자인,KOSDAQ,건설,"15,130",430,2.93,"113,475,000,000"
043650,국순당,KOSDAQ,음식료·담배,"5,770",70,1.23,"103,042,414,080"
006050,국영지앤엠,KOSDAQ,비금속,"1,209",-6,-0.49,"42,188,348,787"
060480,국일신동,KOSDAQ,금속,"2,580",-25,-0.96,"28,612,200,000"
078130,국일제지,KOSDAQ,종이·목재,800,0,0.00,"901,924,696,800"
307750,국전약품,KOSDAQ,제약,"6,510",150,2.36,"319,440,941,190"
035080,그래디언트,KOSDAQ,유통,"16,900",-50,-0.29,"245,516,169,600"
204020,그리티,KOSDAQ,섬유·의류,"2,915",-15,-0.51,"58,729,758,450"
402490,그린리소스,KOSDAQ,일반전기전자,"30,050",0,0.00,"245,927,517,200"
114450,그린생명과학,KOSDAQ,제약,"2,275",20,0.89,"45,500,000,000"
186230,그린플러스,KOSDAQ,금속,"10,070",70,0.70,"108,959,293,160"
900070,글로벌에스엠,KOSDAQ,금융,497,0,0.00,"26,710,752,096"
204620,글로벌텍스프리,KOSDAQ,금융,"4,405",-140,-3.08,"250,150,470,440"
019660,글로본,KOSDAQ,유통,884,-2,-0.23,"30,755,019,464"
053260,금강철강,KOSDAQ,금속,"5,110",40,0.79,"95,659,200,000"
282720,금양그린파워,KOSDAQ,건설,"11,960",10,0.08,"144,949,220,000"
036190,금화피에스시,KOSDAQ,건설,"27,800",-250,-0.89,"166,800,000,000"
049080,기가레인,KOSDAQ,반도체,"1,007",16,1.61,"85,477,530,429"
420770,기가비스,KOSDAQ,반도체,"69,000","2,700",4.07,"874,627,302,000"
035460,기산텔레콤,KOSDAQ,통신장비,"2,445",20,0.82,"35,641,596,300"
308100,까스텔바작,KOSDAQ,유통,"4,330",-20,-0.46,"28,685,093,890"
407400,꿈비,KOSDAQ,기타제조,"9,880",-20,-0.20,"121,123,603,120"
187790,나노,KOSDAQ,화학,"1,288",33,2.63,"39,722,989,040"
286750,나노브릭,KOSDAQ,화학,"2,180",0,0.00,"45,114,138,620"
121600,나노신소재,KOSDAQ,화학,"140,100",600,0.43,"1,703,598,907,800"
247660,나노씨엠에스,KOSDAQ,일반전기전자,"9,970",-150,-1.48,"43,308,882,400"
039860,나노엔텍,KOSDAQ,의료·정밀기기,"3,875",30,0.78,"103,879,554,625"
091970,나노캠텍,KOSDAQ,화학,749,34,4.76,"28,025,702,257"
417010,나노팀,KOSDAQ,기계·장비,"13,800",-10,-0.07,"272,195,726,400"
405920,나라셀라,KOSDAQ,유통,"5,090",-40,-0.78,"65,549,406,840"
051490,나라엠앤디,KOSDAQ,기계·장비,"5,700",0,0.00,"80,940,000,000"
