종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"093050","LF","KOSPI","섬유의복","14760","330","2.29","431582400000"
"003550","LG","KOSPI","기타금융","90400","-900","-0.99","14220009767200"
"034220","LG디스플레이","KOSPI","전기전자","10750","-460","-4.10","3846518775000"
"051900","LG생활건강","KOSPI","화학","381500","5000","1.33","5958342155500"
"051905","LG생활건강우","KOSPI","화학","167700","700","0.42","352119186900"
"373220","LG에너지솔루션","KOSPI","전기전자","413500","0","0.00","96759000000000"
"003555","LG우","KOSPI","기타금융","65700","400","0.61","198520434000"
"032640","LG유플러스","KOSPI","통신업","10020","10","0.10","4374845837220"
"011070","LG이노텍","KOSPI","전기전자","192400","-1500","-0.77","4553551386800"
"066570","LG전자","KOSPI","전기전자","99400","200","0.20","16266592711600"
"066575","LG전자우","KOSPI","전기전자","46200","1000","2.21","793992830400"
"037560","LG헬로비전","KOSPI","서비스업","3510","50","1.45","271838496150"
"051910","LG화학","KOSPI","화학","449500","10500","2.39","31731258178500"
"051915","LG화학우","KOSPI","화학","303000","1000","0.33","2329706400000"
"079550","LIG넥스원","KOSPI","기계","167300","2600","1.58","3680600000000"
"006260","LS","KOSPI","기타금융","110600","-400","-0.36","3561320000000"
"010120","LS ELECTRIC","KOSPI","전기전자","92800","200","0.22","2784000000000"
"000680","LS네트웍스","KOSPI","유통업","4565","-120","-2.56","359735768040"
"229640","LS에코에너지","KOSPI","기타금융","18160","-190","-1.04","556147802640"
"108320","LX세미콘","KOSPI","전기전자","78700","-800","-1.01","1280000410000"
"001120","LX인터내셔널","KOSPI","유통업","26250","200","0.77","1017450000000"
"108670","LX하우시스","KOSPI","화학","40600","900","2.27","364087402000"
"108675","LX하우시스우","KOSPI","화학","21050","250","1.20","21730546500"
"383800","LX홀딩스","KOSPI","기타금융","7010","10","0.14","534727636900"
"38380K","LX홀딩스1우","KOSPI","기타금융","9120","-30","-0.33","13363399200"
"023150","MH에탄올","KOSPI","음식료품","6360","0","0.00","46927425360"
"035420","NAVER","KOSPI","서비스업","188900","4500","2.44","30678983406600"
"181710","NHN","KOSPI","서비스업","25650","50","0.20","866101054950"
"400760","NH올원리츠","KOSPI","서비스업","3615","20","0.56","152553000000"
"005940","NH투자증권","KOSPI","증권","12930","60","0.47","4288440358530"
"005945","NH투자증권우","KOSPI","증권","11960","70","0.59","225696777280"
"338100","NH프라임리츠","KOSPI","서비스업","4285","0","0.00","79958100000"
"034310","NICE","KOSPI","서비스업","12150","-100","-0.82","455667245550"
"030190","NICE평가정보","KOSPI","서비스업","10860","310","2.94","652769296200"
"008260","NI스틸","KOSPI","철강금속","4725","-45","-0.94","135135552825"
"004250","NPC","KOSPI","화학","4995","45","0.91","183416400000"
"004255","NPC우","KOSPI","화학","2800","-10","-0.36","14784000000"
"456040","OCI","KOSPI","화학","83100","-200","-0.24","747113458500"
"010060","OCI홀딩스","KOSPI","화학","92200","-1600","-1.71","1807697356400"
"178920","PI첨단소재","KOSPI","화학","22100","200","0.91","648995716200"
"005490","POSCO홀딩스","KOSPI","철강금속","428500","500","0.12","36238772055000"
"010950","S-Oil","KOSPI","화학","77800","-500","-0.64","8758941217600"
"010955","S-Oil우","KOSPI","화학","49650","0","0.00","199688675550"
"034120","SBS","KOSPI","서비스업","28750","-1150","-3.85","533348092500"
"005090","SGC에너지","KOSPI","전기가스업","22600","100","0.44","325650925800"
"001380","SG글로벌","KOSPI","운수장비","2355","-80","-3.29","105890556765"
"004060","SG세계물산","KOSPI","유통업","431","1","0.23","87245157760"
"001770","SHD","KOSPI","철강금속","19680","-140","-0.71","23908799040"
"002360","SH에너지화학","KOSPI","화학","624","3","0.48","69347447520"
"009160","SIMPAC","KOSPI","철강금속","4405","55","1.26","288217017980"
"123700","SJM","KOSPI","운수장비","3710","-25","-0.67","57894171580"
"025530","SJM홀딩스","KOSPI","유통업","3935","35","0.90","58765321480"
"034730","SK","KOSPI","기타금융","191200","200","0.10","13995520504800"
"011790","SKC","KOSPI","화학","114800","-1500","-1.29","4347280610400"
"018670","SK가스","KOSPI","유통업","149900","500","0.33","1383613575600"
"001740","SK네트웍스","KOSPI","유통업","6230","-10","-0.16","1378561329460"
"006120","SK디스커버리","KOSPI","기타금융","44550","250","0.56","848136440250"
"006125","SK디스커버리우","KOSPI","기타금융","31850","0","0.00","43266791750"
"210980","SK디앤디","KOSPI","서비스업","24700","0","0.00","548097050800"
"395400","SK리츠","KOSPI","서비스업","4125","65","1.60","1114297300875"
"302440","SK바이오사이언스","KOSPI","의약품","63000","300","0.48","4840148250000"
"326030","SK바이오팜","KOSPI","서비스업","94600","-1400","-1.46","7408433450000"
"402340","SK스퀘어","KOSPI","기타금융","80000","3000","3.90","11118482880000"
"361610","SK아이이테크놀로지","KOSPI","전기전자","74700","-1100","-1.45","5325930122400"
"100090","SK오션플랜트","KOSPI","철강금속","13360","50","0.38","790852788480"
"03473K","SK우","KOSPI","기타금융","148000","400","0.27","83787980000"
"096770","SK이노베이션","KOSPI","화학","120000","0","0.00","11488270800000"
"096775","SK이노베이션우","KOSPI","화학","83500","300","0.36","104243571000"
"001510","SK증권","KOSPI","증권","625","2","0.32","295368856875"
"001515","SK증권우","KOSPI","증권","2335","-55","-2.30","9135720190"
"285130","SK케미칼","KOSPI","화학","65200","600","0.93","1124946651600"
"28513K","SK케미칼우","KOSPI","화학","28500","200","0.71","60289726500"
"017670","SK텔레콤","KOSPI","통신업","53200","0","0.00","11426830819600"
"000660","SK하이닉스","KOSPI","전기전자","169800","-200","-0.12","123614801577000"
"003570","SNT다이내믹스","KOSPI","운수장비","17200","660","3.99","571946388400"
"064960","SNT모티브","KOSPI","운수장비","45100","100","0.22","659503433600"
"100840","SNT에너지","KOSPI","기계","24650","800","3.35","185040426150"
"036530","SNT홀딩스","KOSPI","기타금융","21250","700","3.41","346457577500"
"005610","SPC삼립","KOSPI","음식료품","56500","-500","-0.88","487539008500"
"011810","STX","KOSPI","유통업","8840","-150","-1.67","274198474680"
"465770","STX그린로지스","KOSPI","운수창고업","8440","10","0.12","60523510080"
"077970","STX엔진","KOSPI","기계","13030","-390","-2.91","299806019120"
"071970","STX중공업","KOSPI","기계","11450","-150","-1.29","326928060050"
"002820","SUN&L","KOSPI","종이목재","2595","75","2.98","32717731455"
"084870","TBH글로벌","KOSPI","섬유의복","1687","49","2.99","35185453653"
"002710","TCC스틸","KOSPI","철강금속","63400","-2100","-3.21","1661948389800"
"069260","TKG휴켐스","KOSPI","화학","19970","10","0.05","816345402360"
"002900","TYM","KOSPI","기계","5820","70","1.22","262196563920"
"024070","WISCOM","KOSPI","화학","2500","-5","-0.20","38316095000"
"037270","YG PLUS","KOSPI","서비스업","4290","10","0.23","272112168900"
"000500","가온전선","KOSPI","전기전자","28700","-800","-2.71","211173050200"
"000860","강남제비스코","KOSPI","화학","24150","650","2.77","156975000000"
"035250","강원랜드","KOSPI","서비스업","16830","60","0.36","3600618615000"
"011420","갤럭시아에스엠","KOSPI","서비스업","2505","-50","-1.96","69011858220"
"002100","경농","KOSPI","화학","10140","90","0.90","197958910500"
"009450","경동나비엔","KOSPI","전기전자","52700","0","0.00","767764798400"
"267290","경동도시가스","KOSPI","전기가스업","19560","80","0.41","115314141360"
"012320","경동인베스트","KOSPI","기타금융","101300","20900","26.00","239576829900"
"000050","경방","KOSPI","유통업","8450","-70","-0.82","231659031500"
"214390","경보제약","KOSPI","의약품","7750","640","9.00","185278165000"
"012610","경인양행","KOSPI","화학","3560","10","0.28","148154259400"
"009140","경인전자","KOSPI","전기전자","22000","-150","-0.68","34557534000"
"013580","계룡건설","KOSPI","건설업","14020","130","0.94","125211316140"
"012200","계양전기","KOSPI","기계","1760","15","0.86","47912179040"
"012205","계양전기우","KOSPI","기계","4020","80","2.03","4699697580"
"002140","고려산업","KOSPI","음식료품","3170","20","0.63","79057977250"
"010130","고려아연","KOSPI","철강금속","440000","-1500","-0.34","9199778720000"
"002240","고려제강","KOSPI","철강금속","21400","-350","-1.61","535000000000"
"009290","광동제약","KOSPI","의약품","7760","-100","-1.27","406785803760"
"017040","광명전기","KOSPI","전기전자","2365","-35","-1.46","102493459475"
"017900","광전자","KOSPI","전기전자","2335","-30","-1.27","135298686605"
"037710","광주신세계","KOSPI","유통업","30600","-50","-0.16","243490014000"
"030610","교보증권","KOSPI","증권","5400","10","0.19","615399989400"
"339770","교촌에프앤비","KOSPI","유통업","8090","20","0.25","202108748600"
"007690","국도화학","KOSPI","화학","38000","-50","-0.13","342403408000"
"005320","국동","KOSPI","유통업","639","-13","-1.99","42653695383"
"001140","국보","KOSPI","운수창고업","2110","0","0.00","28889546080"
"002720","국제약품","KOSPI","의약품","7130","540","8.19","150869602160"
"083420","그린케미칼","KOSPI","화학","8230","-70","-0.84","197520000000"
"014530","극동유화","KOSPI","화학","3835","20","0.52","133724225700"
"014280","금강공업","KOSPI","철강금속","5900","-30","-0.51","173043206300"
"014285","금강공업우","KOSPI","철강금속","9160","70","0.77","5403255000"
"008870","금비","KOSPI","비금속광물","64100","700","1.10","64100000000"
"001570","금양","KOSPI","화학","120000","-3000","-2.44","6966004440000"
"002990","금호건설","KOSPI","건설업","4550","35","0.78","168138857250"
"002995","금호건설우","KOSPI","건설업","12150","120","1.00","3551031900"
"011780","금호석유","KOSPI","화학","140300","-700","-0.50","4005239363700"
"011785","금호석유우","KOSPI","화학","68700","-700","-1.01","207713488200"
"214330","금호에이치티","KOSPI","운수장비","645","4","0.62","134997691815"
"001210","금호전기","KOSPI","전기전자","738","4","0.54","27906940854"
"073240","금호타이어","KOSPI","화학","5890","40","0.68","1691963090430"
"092440","기신정기","KOSPI","기계","3175","-5","-0.16","92710000000"
"000270","기아","KOSPI","운수장비","112900","-2800","-2.42","45390790518700"
"024110","기업은행","KOSPI","은행","15280","120","0.79","12184667278320"
"013700","까뮤이앤씨","KOSPI","건설업","1552","3","0.19","70076338560"
"004540","깨끗한나라","KOSPI","종이목재","2440","-40","-1.61","90867290920"
"004545","깨끗한나라우","KOSPI","종이목재","14680","-140","-0.94","5375228800"
"001260","남광토건","KOSPI","건설업","6590","80","1.23","64796649480"
"008350","남선알미늄","KOSPI","철강금속","1940","-9","-0.46","250413434600"
"008355","남선알미우","KOSPI","철강금속","20150","-450","-2.18","6203983500"
"004270","남성","KOSPI","유통업","1951","2","0.10","70649924160"
"003920","남양유업","KOSPI","음식료품","597000","13000","2.23","429840000000"
"003925","남양유업우","KOSPI","음식료품","445000","4500","1.02","89000000000"
"025860","남해화학","KOSPI","화학","7350","50","0.68","365139496050"
"005720","넥센","KOSPI","화학","4140","-10","-0.24","221672064780"
"005725","넥센우","KOSPI","화학","3010","5","0.17","10837806000"
"002350","넥센타이어","KOSPI","화학","8390","80","0.96","819433488030"
"002355","넥센타이어1우B","KOSPI","화학","3270","45","1.40","21255000000"
"092790","넥스틸","KOSPI","철강금속","7400","30","0.41","192414800000"
"251270","넷마블","KOSPI","서비스업","58700","-300","-0.51","5045470567400"
"090350","노루페인트","KOSPI","화학","10390","-260","-2.44","207800000000"
"090355","노루페인트우","KOSPI","화학","14930","-30","-0.20","6914471180"
"000320","노루홀딩스","KOSPI","기타금융","11770","-140","-1.18","156436847270"
"000325","노루홀딩스우","KOSPI","기타금융","32650","550","1.71","7952201350"
"006280","녹십자","KOSPI","의약품","124400","200","0.16","1453805327200"
"005250","녹십자홀딩스","KOSPI","서비스업","17700","230","1.32","832399317000"
"005257","녹십자홀딩스2우","KOSPI","서비스업","29750","1450","5.12","25168202500"
"004370","농심","KOSPI","음식료품","363000","3000","0.83","2207999046000"
"072710","농심홀딩스","KOSPI","기타금융","69000","900","1.32","320007510000"
"058730","다스코","KOSPI","기계","3780","-20","-0.53","73320436980"
"030210","다올투자증권","KOSPI","증권","3540","-50","-1.39","215625315240"
"023590","다우기술","KOSPI","서비스업","21750","-350","-1.58","975848919750"
"145210","다이나믹디자인","KOSPI","기계","5940","580","10.82","102768492420"
"019680","대교","KOSPI","서비스업","2710","-80","-2.87","229544723500"
"019685","대교우B","KOSPI","서비스업","1816","-101","-5.27","35279413840"
"006370","대구백화점","KOSPI","유통업","8300","40","0.48","89819371300"
"008060","대덕","KOSPI","기타금융","6720","30","0.45","227741808000"
"00806K","대덕1우","KOSPI","기타금융","7360","0","0.00","8922947520"
"353200","대덕전자","KOSPI","전기전자","24300","50","0.21","1200831277500"
"35320K","대덕전자1우","KOSPI","전기전자","9760","-20","-0.20","20452265440"
"000490","대동","KOSPI","기계","14070","730","5.47","360765887160"
